ID_Venta;Fecha;ID_Cliente;ID_Producto;Unidades;Precio_Unitario;Descuento;Costo_Unitario;Canal;Estado
V00591;09/12/2023;C0046;P0014;29;12433.88;0;7133.98;SUCURSAL;Confirmada
V00064;13/07/2025;C0026;P0015;37;103362.73;0;52751.77;Sucursal;Confirmada
V01151;09/07/2024;C0036;P0010;26;25150.60;0;15802.18;Mayorista;Confirmada
V00710;07/05/2025;C0050;P0015;16;99957.08;0.15;52751.77;Mayorista;Confirmada
V00081;05/01/2025;C0008;P0025;33;78649.90;0.05;39839.56;Sucursal;Confirmada
V00030;02/07/2023;C0012;P0030;34;136995.97;0;79943.46;online;Confirmada
V01136;31/07/2025;C0044;P0007;8;25833.21;0.05;18589.68;Sucursal;Confirmada
V00442;10/11/2024;C0005;P0038;16;54262.09;0.05;30948.72;Mayorista;Confirmada
V00426;18/08/2025;C0046;P0002;24;n/d;0;45022.51;Mayorista;Confirmada
V00748;24/03/2023;C0022;P0019;14;42806.05;0;24035.97;SUCURSAL;Confirmada
V00583;11/11/2024;C0038;P0017;20;35623.85;0.1;21329.37;SUCURSAL;Confirmada
V00317;28/11/2025;C0032;P0005;28;139524.84;0;76381.11;online;Confirmada
V01078;05/02/2025;C0005;P0034;28;147164.93;0;73820.76;Mayorista;Confirmada
V00998;27/07/2024;C0045;P0031;3;152840.56;0;85075.28;online;Confirmada
V00354;13/12/2024;C0007;P0038;29;54715.04;0;30948.72;online;Confirmada
V00169;18/04/2023;;P0019;20;42551.72;0.1;24035.97;online;Confirmada
V00407;15/02/2023;C0053;P0036;4;15568.92;0.15;9624.01;SUCURSAL;Confirmada
V00497;16/05/2025;C0053;P0039;28;37135.92;0.1;20257.15;Mayorista;Anulada
V00996;31/08/2023;C0029;P0007;38;27221.38;0;18589.68;online;Confirmada
V00348;30/06/2025;C0056;P0013;14;35635.42;0.15;26313.27;Sucursal;Confirmada
V00327;26/06/2024;C0009;P0031;25;143460.94;0.15;85075.28;Online;Confirmada
V00114;07/11/2024;C0032;P0020;26;80446.30;0;45649.19;Online;Confirmada
V00595;17/02/2023;C0011;P0026;16;101615.24;0.1;75912.18;Mayorista;Confirmada
V00005;04/09/2023;C0049;P0039;22;33871.83;0.1;20257.15;SUCURSAL;Confirmada
V00039;14/02/2023;C0033;P0024;16;81678.72;0;54866.45;Online;Confirmada
V01177;24/10/2024;C0023;P0040;5;82060.10;0.15;59058.47;SUCURSAL;Confirmada
V00617;30/06/2024;C0031;P0002;32;77620.94;0;45022.51;Sucursal;Confirmada
V00234;08/08/2023;C0040;P0032;2;59894.90;0.15;41511.75;Mayorista;Confirmada
V00027;26/01/2024;C0034;P0039;27;35640.47;0;20257.15;SUCURSAL;Confirmada
V01156;13/01/2023;C0020;P0037;35;27025.20;0.15;20637.97;Mayorista;Confirmada
V01146;19/10/2025;C0015;P0005;10;145372.46;0;76381.11;online;Confirmada
V00149;10/03/2025;C0043;P0032;16;58101.01;0.05;41511.75;online;Confirmada
V00167;29/10/2024;;P0018;16;37266.26;0.15;27465.62;Mayorista;Confirmada
V01167;12/10/2025;C0011;P0002;17;82572.08;0.1;45022.51;Online;Confirmada
V00406;03/06/2025;C0025;P0007;25;28554.18;0.15;18589.68;Sucursal;Confirmada
V01024;16/06/2024;C0041;P0032;29;60830.11;0.05;41511.75;Mayorista;Confirmada
V00816;24/11/2023;C0036;P0025;4;73465.65;0.1;39839.56;SUCURSAL;Confirmada
V01074;12/01/2025;C0008;P0017;12;33099.49;0;21329.37;online;Confirmada
V00876;01/06/2024;C0023;P0037;6;27589.99;0;20637.97;Online;Confirmada
V00795;17/07/2024;C0045;P0015;9;105606.17;0;52751.77;online;Confirmada
V00107;24/01/2023;C0025;P0015;29;105600.28;0.05;52751.77;SUCURSAL;Confirmada
V00152;16/02/2023;C0032;P0013;2;39495.47;0;26313.27;Mayorista;Confirmada
V00882;08/06/2025;C0025;P0006;16;133948.70;0;82826.49;Mayorista;Confirmada
V00787;13/05/2024;C0050;P0021;19;52311.66;0.1;30386.28;Sucursal;Confirmada
V00846;05/08/2023;C0014;P0018;11;39762.64;0;27465.62;Sucursal;Confirmada
V00221;19/11/2023;C0019;P0038;27;54095.73;0.15;30948.72;Mayorista;Confirmada
V00088;11/01/2025;C0056;P0001;39;145634.67;0.05;88805.39;Sucursal;Confirmada
V00592;07/06/2025;C0006;P0002;11;83090.51;0;45022.51;online;Confirmada
V00525;23/04/2025;C0050;P0001;8;141332.41;0.1;88805.39;online;Confirmada
V00994;07/10/2024;C0035;P0013;20;38735.26;0.1;26313.27;Sucursal;Confirmada
V00342;21/02/2025;C0046;P0004;20;74381.84;0.15;45750.64;Online;Confirmada
V00085;14/08/2025;C0049;P0016;31;7425.51;0.1;5355.27;SUCURSAL;Confirmada
V00547;14/07/2024;C0054;P0015;10;97392.51;0;52751.77;Sucursal;Confirmada
V01062;25/10/2025;C0025;P0029;20;60753.90;0;35426.88;Sucursal;Confirmada
V00849;22/06/2025;C0038;P0031;5;134151.84;0;85075.28;Mayorista;Confirmada
V01092;19/01/2023;C0021;P0003;1;88227.98;0.15;59237.27;SUCURSAL;Confirmada
V00940;11/05/2024;C0033;P0009;11;39056.95;0;24765.50;Sucursal;Confirmada
V01090;17/07/2023;C0056;P0024;5;86065.52;0;54866.45;online;Confirmada
V01138;03/03/2025;C0024;P0006;30;141483.84;0;82826.49;SUCURSAL;Confirmada
V00616;19/11/2024;C0007;P0017;34;32252.62;0.15;21329.37;online;Confirmada
V00184;20/02/2025;C0053;P0027;1;126169.76;0.15;61799.54;Sucursal;Confirmada
V00782;07/09/2025;C0037;P0030;4;136865.67;0.15;79943.46;Online;Confirmada
