ID_Venta,Fecha,ID_Cliente,ID_Producto,Canal,Estado,Unidades,Precio_Unitario,Descuento,Costo_Unitario,Costo_Envio
V04285,2024-10-06,C041,P004,E-commerce,Confirmada,  3 ,  27.81 ,0.08,13.42,  23.88 
V00014,2025-11-19,C019,P004,E-commerce,Confirmada,11,29.24,0.0,14.66,43.44
V01369,2024-03-30,C015,P010,E-commerce,Confirmada,10,35.67,0.08,17.72,30.1
V05111,2024-11-15,C026,P002,E-commerce,Confirmada,1,463.15,0.1,270.56,27.06
V02696,2025-11-02,C025,P007,Tienda fisica,Confirmada,3,126.75,0.0,70.34,3.33
V02756,2024-12-23,C052,P008,Tienda fisica,Confirmada,3,87.41,0.0,47.23,2.07
V04185,2025-12-28,C038,P007,E-commerce,Confirmada,5,129.45,0.0,69.45,22.56
V01468,2025-01-23,C051,P002,Tienda fisica,Confirmada,1,478.97,0.0,294.11,1.8
V00012,2025-03-11,C021,P007,E-commerce,Confirmada,3,125.35,0.0,69.41,23.07
V02741,2024-01-31,C056,P002,E-commerce,Confirmada,3,450.01,0.08,270.37,30.51
V03818,2025-12-10,C040,P001,E-commerce,Confirmada,4,1265.04,0.05,796.91,22.01
V03992,2024-03-12,C011,P002,Tienda fisica,Confirmada,2,446.81,0.0,271.48,2.23
V01374,2025-06-17,C008,P008,Tienda fisica,Confirmada,4,90.25,0.0,52.27,2.02
V02068,2025-01-17,C037,P002,Tienda fisica,Confirmada,3,484.19,0.0,294.9,1.25
V03558,2024-09-04,C015,P006,Tienda fisica,Confirmada,4,65.93,0.0,35.56,0.24
V03121,2025-12-11,C057,P006,E-commerce,Confirmada,12,69.47,0.15,39.18,35.01
V00120,2025-09-02,C060,P002,E-commerce,Confirmada,2,479.89,0.0,301.21,16.13
V03747,2025-08-08,C005,P007,Tienda fisica,Confirmada,  1 ,  125.94 ,0.05,69.92,  1.71 
V02625,2024-10-25,C015,P005,Tienda fisica,Confirmada,11,93.99,0.0,48.32,1.65
V03756,2025-12-04,C006,P010,Tienda fisica,Confirmada,4,37.24,0.0,19.71,3.35
V03064,2024-01-15,C005,P010,Tienda fisica,Confirmada,11,35.32,0.0,17.88,0.0
V05124,2025-07-03,C050,P009,Tienda fisica,Confirmada,1,141.19,0.0,83.24,0.85
V04356,2024-11-09,C024,P001,E-commerce,Confirmada,4,1199.87,0.05,747.12,17.89
V03543,2024-12-07,C017,P009,Tienda fisica,Confirmada,1,133.64,0.1,77.55,1.22
V04893,2024-10-03,C010,P009,E-commerce,Confirmada,1,132.69,0.0,75.44,26.54
V03332,2025-01-13,C016,P006,E-commerce,Confirmada,4,70.55,0.05,38.24,26.3
V01968,2024-05-01,C018,P008,E-commerce,Confirmada,3,87.48,0.1,47.25,30.12
V04964,2025-07-11,C060,P004,E-commerce,Confirmada,6,29.98,0.1,14.42,23.62
V00940,2025-07-01,C058,P001,E-commerce,Confirmada,4,1254.93,0.05,806.69,38.39
V02340,2024-10-13,C011,P004,E-commerce,Confirmada,14,28.66,0.05,13.32,50.58
V03689,2024-11-27,C030,P005,Tienda fisica,Confirmada,2,95.25,0.0,47.3,1.54
V03880,2025-05-14,C005,P006,E-commerce,Confirmada,8,69.55,0.0,38.74,24.44
V01690,2025-10-11,C060,P003,E-commerce,Confirmada,4,1745.64,0.0,1206.52,31.16
V02895,2025-01-25,C019,P008,E-commerce,Confirmada,8,92.13,0.0,51.75,27.39
V04788,2025-11-05,C019,P003,Tienda fisica,Confirmada,  5 ,  1792.98 ,0.0,1202.94,  2.15 
V04545,2025-08-16,C051,P007,E-commerce,Confirmada,4,128.62,0.08,68.81,33.99
V04592,2024-09-16,C035,P004,Tienda fisica,Confirmada,8,27.66,0.0,13.61,1.73
V00671,2025-08-21,C015,P004,Tienda fisica,Confirmada,10,30.03,0.0,14.72,3.64
V03185,2024-12-28,C034,P004,Tienda fisica,Confirmada,10,28.4,0.1,13.21,1.91
V05094,2024-07-13,C016,P010,Tienda fisica,Confirmada,4,35.54,0.0,18.08,0.6
V01012,2024-09-09,C046,P006,E-commerce,Confirmada,8,63.95,0.0,35.02,31.68
V03090,2025-08-21,C055,P010,E-commerce,Confirmada,7,37.61,0.08,19.37,32.57
V00478,2025-12-25,C008,P002,Tienda fisica,Confirmada,2,475.08,0.1,294.45,1.81
V04375,2025-08-15,C010,P010,E-commerce,Confirmada,1,37.04,0.05,19.65,19.08
V01256,2024-06-11,C018,P004,Tienda fisica,Confirmada,2,28.24,0.0,13.48,1.65
V02907,2024-10-30,C029,P006,E-commerce,Confirmada,6,64.93,0.05,35.7,28.02
V03126,2024-04-11,C020,P010,Tienda fisica,Confirmada,1,35.98,0.0,18.11,3.21
V01040,2025-10-26,C009,P007,E-commerce,Confirmada,5,127.67,0.1,67.77,27.72
V03535,2025-11-27,C005,P002,Tienda fisica,Confirmada,2,488.07,0.0,297.54,2.26
V01623,2025-04-17,C014,P010,E-commerce,Confirmada,11,38.0,0.0,19.47,45.82
V01502,2024-12-08,C038,P008,Tienda fisica,Confirmada,2,85.1,0.0,48.39,3.43
V01554,2025-01-19,C010,P002,Tienda fisica,Confirmada,  8 ,  469.24 ,0.0,298.05,  1.28 
V02795,2025-09-12,C011,P004,Tienda fisica,Confirmada,16,29.65,0.05,14.79,1.56
V03032,2025-08-05,C017,P006,E-commerce,Confirmada,9,68.38,0.0,37.94,42.05
V01663,2025-07-31,C054,P004,Tienda fisica,Confirmada,7,29.81,0.05,14.59,3.27
V00673,2025-03-14,C017,P005,E-commerce,Confirmada,18,102.0,0.0,53.07,64.25
V00945,2024-05-01,C024,P010,Tienda fisica,Confirmada,10,35.6,0.0,17.9,3.7
V04933,2025-09-28,C005,P009,E-commerce,Confirmada,2,140.8,0.08,84.09,26.49
V00851,2025-10-22,C060,P006,E-commerce,Confirmada,10,69.09,0.05,37.78,27.99
V03632,2024-03-01,C025,P004,E-commerce,Confirmada,3,28.53,0.0,13.64,24.61
V04454,2025-08-22,C041,P010,Tienda fisica,Confirmada,1,36.55,0.0,19.05,1.85
V01973,2025-04-21,C055,P008,Tienda fisica,Confirmada,2,89.55,0.0,52.39,0.46
V00968,2025-12-18,C022,P006,Tienda fisica,Confirmada,5,68.3,0.0,38.31,0.53
V03356,2024-03-09,C046,P004,E-commerce,Confirmada,3,28.41,0.08,13.5,17.96
V02243,2025-03-29,C043,P002,E-commerce,Confirmada,1,483.1,0.08,292.71,28.92
V03438,2025-02-27,C006,P007,Tienda fisica,Confirmada,11,128.72,0.0,68.0,3.83
V00494,2025-04-15,C020,P005,Tienda fisica,Confirmada,9,99.71,0.0,51.16,0.65
V04712,2025-08-19,C012,P008,E-commerce,Confirmada,2,89.59,0.15,52.28,16.78
V03284,2024-11-01,C026,P001,Tienda fisica,Confirmada,  4 ,  1233.42 ,0.0,749.34,  3.81 
V03319,2024-12-06,C041,P009,Tienda fisica,Confirmada,1,128.21,0.0,77.39,0.51
V04639,2025-06-21,C025,P007,Tienda fisica,Confirmada,1,129.83,0.0,69.58,1.22
V00438,2025-01-20,C050,P001,Tienda fisica,Confirmada,4,1255.09,0.0,800.05,2.67
V00686,2025-11-03,C020,P003,E-commerce,Confirmada,6,1719.18,0.1,1195.47,39.74
V04690,2024-09-05,C040,P008,Tienda fisica,Confirmada,1,85.85,0.0,47.22,3.61
V03951,2024-06-28,C031,P008,Tienda fisica,Confirmada,1,87.35,0.0,47.12,3.45
V03773,2025-05-09,C028,P008,E-commerce,Confirmada,2,92.41,0.05,51.65,25.9
V00780,2024-02-23,C015,P007,Tienda fisica,Confirmada,5,119.65,0.0,64.75,0.2
V00546,2025-03-16,C040,P004,Tienda fisica,Confirmada,5,29.61,0.05,14.29,1.37
V02516,2025-10-26,C032,P010,E-commerce,Confirmada,12,37.88,0.05,19.43,36.23
V03573,2025-07-05,C050,P007,E-commerce,Confirmada,5,128.06,0.0,67.66,34.27
V01872,2025-12-19,C007,P010,Tienda fisica,Confirmada,6,37.99,0.1,19.01,0.0
V04930,2024-01-23,C042,P010,Tienda fisica,Confirmada,4,34.57,0.0,18.19,0.39
V03522,2025-05-18,C022,P001,Tienda fisica,Confirmada,8,1309.68,0.0,814.56,0.99
V05009,2025-10-26,C056,P005,Tienda fisica,Confirmada,9,101.09,0.0,51.75,0.76
V03958,2024-11-14,C010,P007,E-commerce,Confirmada,2,121.92,0.0,62.91,18.41
V02279,2025-12-10,C040,P008,E-commerce,Confirmada,  2 ,  91.92 ,0.1,51.94,  27.35 
V03526,2025-10-12,C014,P007,Tienda fisica,Confirmada,25,128.36,0.0,68.52,0.87
V04584,2024-08-21,C039,P004,Tienda fisica,Confirmada,7,28.75,0.0,13.46,1.38
V04596,2024-05-25,C005,P010,Tienda fisica,Confirmada,1,35.69,0.0,18.19,2.31
V05221,2024-05-17,C032,P004,E-commerce,Anulada,6,28.76,0.0,13.21,35.07
V03414,2025-06-17,C014,P006,E-commerce,Confirmada,11,68.15,0.1,38.68,47.57
V01861,2024-08-19,C051,P002,Tienda fisica,Confirmada,6,448.9,0.0,276.09,1.57
V00573,2024-07-02,C028,P004,Tienda fisica,Confirmada,6,28.39,0.0,13.25,2.85
V01008,2025-04-08,C023,P006,Tienda fisica,Confirmada,2,70.91,0.0,38.45,0.54
V03406,2025-07-23,C041,P001,Tienda fisica,Confirmada,4,1293.72,0.0,793.53,1.17
V04681,2024-03-19,C031,P007,Tienda fisica,Confirmada,6,122.11,0.0,64.71,0.6
V03469,2025-04-08,C020,P004,E-commerce,Confirmada,2,29.13,0.1,14.64,26.16
V04462,2025-01-16,C050,P010,E-commerce,Confirmada,4,38.06,0.15,19.36,34.32
V04975,2024-12-25,C058,P006,E-commerce,Confirmada,4,65.85,0.15,35.78,30.06
V04522,2024-09-12,C019,P009,E-commerce,Confirmada,2,133.87,0.0,75.52,13.95
V04012,2024-04-12,C054,P006,E-commerce,Confirmada,7,65.84,0.0,35.88,33.52
V03643,2025-03-09,C035,P007,Tienda fisica,Confirmada,2,126.69,0.0,67.88,3.68
V03250,2024-02-15,C015,P007,E-commerce,Confirmada,  6 ,  121.54 ,0.05,63.88,  22.62 
V04298,2024-07-25,C030,P006,E-commerce,Confirmada,6,65.62,0.05,35.5,31.72
V02265,2024-11-03,C020,P002,Tienda fisica,Confirmada,4,455.97,0.0,273.32,0.16
V01659,2024-03-19,C020,P005,E-commerce,Confirmada,6,94.42,0.1,47.75,37.38
V00830,2024-04-14,C032,P004,Tienda fisica,Confirmada,4,28.62,0.1,13.62,0.5
V05016,2025-02-01,C050,P009,E-commerce,Confirmada,5,137.5,0.0,84.1,30.79
